Designator,Mid X,Mid Y,Rotation,Layer,,,,,
BOOT1,100.57,-96.65,-90,top,,,,,
C1,144.29,-109.09,-90,top,,,,,
C2,140.695,-87.51,180,top,,,,,
C3,158.79,-91.33,90,top,,,,,
C4,139.82,-106.34,-90,top,,,,,
C5,140.695,-88.97,180,top,,,,, 
C6,157.33,-91.33,90,top,,,,,
C7,157.38,-104.57,-90,top,,,,,
C8,151.91,-109.16,-90,top,,,,,
C9,142.83,-109.09,-90,top,,,,,
C10,153.37,-109.165,-90,top,,,,,
C11,154.84,-109.165,-90,top,,,,,
C12,149.04,-112.515,-90,top,,,,,
C13,146.11,-112.52,-90,top,,,,,
C14,112.31,-90.05,180,top,,,,,
C15,114.04,-99.94,0,top,,,,,
C17,123.45,-100.02,180,top,,,,,
C18,123.45,-104.29,180,top,,,,,
D1,131.295,-84.41,0,top,,,,,
D2,131.295,-85.87,0,top,,,,,
D3,131.29,-87.33,0,top,,,,,
D4,131.29,-88.79,0,top,,,,,
D5,110.59,-99.94,0,top,,,,,
D6,112.33,-85.78,90,top,,,,,
F1,114.06,-107,90,top,,,,,
FB1,115.98,-111.7975,-90,top,,,,,
J1,178.78,-99.42,-90,top,,,,,
J2,122.61,-86.21,-90,top,,,,,
J3,178.79,-111.95,-90,top,,,,,
J4,178.745,-87,-90,top,,,,,
J5,97.6975,-83.785,-90,top,,,,,
J7,120.67,-120.29,90,top,,,,,
J9,168.92,-77.457056,-90,top,,,,,
L1,113.82,-101.65,0,top,,,,,
POWER,104.92,-109.76,-90,top,,,,,
Q1,116.9,-106.62,90,top,,,,,
R1,104.1,-99.58,90,top,,,,,
R2,147.58,-112.515,-90,top,,,,,
R4,123.45,-98.56,180,top,,,,,
R5,123.45,-105.75,180,top,,,,,
R6,123.45,-102.83,0,top,,,,,
R7,125.4,-92,-90,top,,,,,
R8,123.93,-92,-90,top,,,,,
R9,122.47,-91.985,-90,top,,,,,
R10,120.08,-92.01,-90,top,,,,,
R11,175.58,-109.11,0,top,,,,,
R12,175.575,-113.5,0,top,,,,,
R13,175.64,-101.01,180,top,,,,,
R14,175.64,-99.55,180,top,,,,,
R15,175.625,-85.65,180,top,,,,,
R16,175.63,-87.11,180,top,,,,,
R17,107.1175,-80.5375,-90,top,,,,,
R18,107.1175,-87.5425,90,top,,,,,
R19,110.59,-101.4,180,top,,,,,
R20,175.64,-98.09,180,top,,,,,
R21,175.64,-96.63,180,top,,,,,
R22,175.575,-112.035,180,top,,,,,
R23,175.58,-110.575,180,top,,,,,
R24,134.255,-84.41,180,top,,,,,
R25,134.255,-85.87,180,top,,,,,
R26,134.255,-87.33,180,top,,,,,
R27,134.255,-88.79,180,top,,,,,
RST,122.53,-96.17,0,top,,,,,
U1,147.86,-98.43,90,top,,,,,
U3,108.9875,-84.0475,0,top,,,,,
U4,112.46,-95.05,180,top,,,,,
USR,122.53,-108.14,0,top,,,,,
Y1,147.58,-109.33,0,top,,,,,
